__time,/pez/service_rtt_magnet/call_id,/pez/service_rtt_magnet/request_stamp/nanosec,/pez/service_rtt_magnet/request_stamp/sec,/pez/service_rtt_magnet/response_stamp/nanosec,/pez/service_rtt_magnet/response_stamp/sec,/pez/service_rtt_magnet/rtt/nanosec,/pez/service_rtt_magnet/rtt/sec,/pez/service_rtt_magnet/success,/pez/service_rtt_neutral/call_id,/pez/service_rtt_neutral/request_stamp/nanosec,/pez/service_rtt_neutral/request_stamp/sec,/pez/service_rtt_neutral/response_stamp/nanosec,/pez/service_rtt_neutral/response_stamp/sec,/pez/service_rtt_neutral/rtt/nanosec,/pez/service_rtt_neutral/rtt/sec,/pez/service_rtt_neutral/success,/pez/service_rtt_start/call_id,/pez/service_rtt_start/request_stamp/nanosec,/pez/service_rtt_start/request_stamp/sec,/pez/service_rtt_start/response_stamp/nanosec,/pez/service_rtt_start/response_stamp/sec,/pez/service_rtt_start/rtt/nanosec,/pez/service_rtt_start/rtt/sec,/pez/service_rtt_start/success,/pez/service_rtt_stop/call_id,/pez/service_rtt_stop/request_stamp/nanosec,/pez/service_rtt_stop/request_stamp/sec,/pez/service_rtt_stop/response_stamp/nanosec,/pez/service_rtt_stop/response_stamp/sec,/pez/service_rtt_stop/rtt/nanosec,/pez/service_rtt_stop/rtt/sec,/pez/service_rtt_stop/success,rt_ms_stop,rtt_ms_magnet,rtt_ms_neutral,rtt_ms_start
1753950819.386133,11.000000000,997338448.000000000,1753950818.000000000,9091510.000000000,1753950819.000000000,11753062.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.753062000,,
1753950819.886056,,,,,,,,,12.000000000,497320129.000000000,1753950819.000000000,509188680.000000000,1753950819.000000000,11868551.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,11.868551000,
1753950820.885555,13.000000000,497296041.000000000,1753950820.000000000,508521788.000000000,1753950820.000000000,11225747.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.225747000,,
1753950821.425032,,,,,,,,,,,,,,,,,,,,,,,,,14.000000000,997338754.000000000,1753950820.000000000,47463042.000000000,1753950821.000000000,50124288.000000000,0.000000000,1.000000000,50.124288000,,,
1753950821.886327,,,,,,,,,,,,,,,,,15.000000000,497233722.000000000,1753950821.000000000,508748242.000000000,1753950821.000000000,11514520.000000000,0.000000000,1.000000000,,,,,,,,,,,,11.514520000
1753950822.385291,16.000000000,997292429.000000000,1753950821.000000000,6889168.000000000,1753950822.000000000,9596739.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.596739000,,
1753950822.885357,,,,,,,,,17.000000000,497278432.000000000,1753950822.000000000,507726563.000000000,1753950822.000000000,10448131.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,10.448131000,
1753950823.885148,18.000000000,497381156.000000000,1753950823.000000000,508033883.000000000,1753950823.000000000,10652727.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.652727000,,
1753950824.425070,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000,997193393.000000000,1753950823.000000000,47477764.000000000,1753950824.000000000,50284371.000000000,0.000000000,1.000000000,50.284371000,,,
1753950824.884890,,,,,,,,,,,,,,,,,20.000000000,497353784.000000000,1753950824.000000000,507289316.000000000,1753950824.000000000,9935532.000000000,0.000000000,1.000000000,,,,,,,,,,,,9.935532000
1753950825.386783,21.000000000,997366227.000000000,1753950824.000000000,9536268.000000000,1753950825.000000000,12170041.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.170041000,,
1753950825.885055,,,,,,,,,22.000000000,497321849.000000000,1753950825.000000000,507146193.000000000,1753950825.000000000,9824344.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.824344000,
1753950826.887895,23.000000000,497265670.000000000,1753950826.000000000,510686310.000000000,1753950826.000000000,13420640.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,13.420640000,,
1753950827.425535,,,,,,,,,,,,,,,,,,,,,,,,,24.000000000,997469823.000000000,1753950826.000000000,47198974.000000000,1753950827.000000000,49729151.000000000,0.000000000,1.000000000,49.729151000,,,
1753950827.885338,,,,,,,,,,,,,,,,,25.000000000,497318845.000000000,1753950827.000000000,507693183.000000000,1753950827.000000000,10374338.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.374338000
1753950828.387151,26.000000000,997277607.000000000,1753950827.000000000,10134528.000000000,1753950828.000000000,12856921.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.856921000,,
1753950828.884698,,,,,,,,,27.000000000,497403899.000000000,1753950828.000000000,506658602.000000000,1753950828.000000000,9254703.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.254703000,
1753950829.885325,28.000000000,497274823.000000000,1753950829.000000000,507947251.000000000,1753950829.000000000,10672428.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.672428000,,
1753950830.425425,,,,,,,,,,,,,,,,,,,,,,,,,29.000000000,997359376.000000000,1753950829.000000000,47020470.000000000,1753950830.000000000,49661094.000000000,0.000000000,1.000000000,49.661094000,,,
1753950830.885601,,,,,,,,,,,,,,,,,30.000000000,497265683.000000000,1753950830.000000000,508363063.000000000,1753950830.000000000,11097380.000000000,0.000000000,1.000000000,,,,,,,,,,,,11.097380000
1753950831.386141,31.000000000,997323902.000000000,1753950830.000000000,9167686.000000000,1753950831.000000000,11843784.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.843784000,,
1753950831.903488,,,,,,,,,32.000000000,497332820.000000000,1753950831.000000000,505830937.000000000,1753950831.000000000,8498117.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,8.498117000,
1753950832.887364,33.000000000,497366829.000000000,1753950832.000000000,510041330.000000000,1753950832.000000000,12674501.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.674501000,,
1753950833.426136,,,,,,,,,,,,,,,,,,,,,,,,,34.000000000,997277209.000000000,1753950832.000000000,48586583.000000000,1753950833.000000000,51309374.000000000,0.000000000,1.000000000,51.309374000,,,
1753950833.884042,,,,,,,,,,,,,,,,,35.000000000,497228096.000000000,1753950833.000000000,505995053.000000000,1753950833.000000000,8766957.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.766957000
1753950834.385948,36.000000000,997179011.000000000,1753950833.000000000,8808200.000000000,1753950834.000000000,11629189.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.629189000,,
1753950834.887110,,,,,,,,,37.000000000,497271960.000000000,1753950834.000000000,505917423.000000000,1753950834.000000000,8645463.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,8.645463000,
1753950835.885263,38.000000000,497228911.000000000,1753950835.000000000,507931451.000000000,1753950835.000000000,10702540.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.702540000,,
1753950836.425011,,,,,,,,,,,,,,,,,,,,,,,,,39.000000000,997352059.000000000,1753950835.000000000,47098876.000000000,1753950836.000000000,49746817.000000000,0.000000000,1.000000000,49.746817000,,,
1753950836.889023,,,,,,,,,,,,,,,,,40.000000000,497243799.000000000,1753950836.000000000,509401322.000000000,1753950836.000000000,12157523.000000000,0.000000000,1.000000000,,,,,,,,,,,,12.157523000
1753950837.385640,41.000000000,997351509.000000000,1753950836.000000000,7991202.000000000,1753950837.000000000,10639693.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.639693000,,
1753950837.884517,,,,,,,,,42.000000000,497199074.000000000,1753950837.000000000,506472773.000000000,1753950837.000000000,9273699.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.273699000,
